imdb_id,title,year,runtime_min,budget,revenue,avg_rating,num_votes,rating,dubious
tt0315327,"Bruce Almighty",2003,101,80000000,484592874,6.8,470300,3,NULL
tt0087843,"Once Upon a Time in America",1984,229,30000000,5500000,8.3,409157,1,0
tt0116692,"Beyond Silence",1996,109,NULL,NULL,7.4,4779,3,0
tt0448124,"Snow Cake",2006,112,12000000,1381665,7.4,13857,3,0
tt0327554,Catwoman,2004,104,100000000,82102379,3.5,132329,3,0
tt0059170,"Faster, Pussycat! Kill! Kill!",1965,83,45000,36122,6.6,17412,3,0
tt0304126,"Grill Point",2002,106,600000,NULL,7.1,1763,NULL,NULL
tt0464029,Grbavica,2006,90,NULL,NULL,7.2,7175,3,0
tt0120753,"The Million Dollar Hotel",2000,122,8000000,105983,5.7,23270,NULL,NULL
tt0108399,"True Romance",1993,119,12500000,12600000,7.9,261086,1,0
tt0278504,Insomnia,2002,118,46000000,113714830,7.2,342936,1,NULL
tt0330602,"Mambo Italiano",2003,99,4361898,3031801,6.7,7178,NULL,NULL
tt0327056,"Mystic River",2003,138,25000000,156800000,7.9,523303,3,0
tt0417148,"Snakes on a Plane",2006,105,33000000,62022014,5.5,149738,3,0
tt0222851,Brother,2000,114,12000000,15250000,7.1,25971,NULL,NULL
tt0107290,"Jurassic Park",1993,127,63000000,920100000,8.2,1178281,3,NULL
tt0119567,"The Lost World: Jurassic Park",1997,129,73000000,618638999,6.6,478561,3,1
tt0163025,"Jurassic Park III",2001,92,93000000,368780809,6,370779,2,0
tt0141369,"Inspector Gadget",1999,78,75000000,134403112,4.2,53920,NULL,NULL
tt0303785,Bollywood/Hollywood,2002,105,NULL,NULL,6,2621,NULL,NULL
tt0175880,Magnolia,1999,188,37000000,48451803,8,351026,3,0
tt0064116,"Once Upon a Time in the West",1968,145,5000000,5380118,8.5,384363,1,0
tt0067140,"Duck, You Sucker!",1971,138,NULL,NULL,7.5,41391,NULL,NULL
tt0329388,"Monsieur Ibrahim",2003,95,NULL,11576431,7.3,12005,NULL,NULL
tt0301357,"Good Bye Lenin!",2003,121,4800000,79384880,7.7,159823,3,0
tt0102536,"Night on Earth",1991,129,3500000,2015810,7.7,71152,3,0
tt0404030,"Everything Is Illuminated",2005,106,7000000,3601974,7.4,61436,NULL,NULL
tt0489010,"A Crime",2006,103,NULL,NULL,5.6,2193,1,0
tt0420206,"Summer Storm",2004,98,2700000,2085166,7.2,15007,NULL,NULL
tt0067185,"Harold and Maude",1971,91,1200000,NULL,7.8,86322,3,0
tt0135790,"Bang Boom Bang - Ein todsicheres Ding",1999,110,2888030,NULL,7.5,11449,NULL,NULL
tt0120663,"Eyes Wide Shut",1999,159,67,162100000,7.5,429463,3,0
tt0047478,"Seven Samurai",1954,207,2000000,105000000,8.6,401903,0,0
tt0020163,"People on Sunday",1930,73,NULL,NULL,7.2,3960,NULL,NULL
tt0078748,Alien,1979,117,11000000,104931801,8.5,1064514,3,0
tt0428430,"Côte d'Azur",2005,96,NULL,NULL,6.6,2164,NULL,NULL
tt0458352,"The Devil Wears Prada",2006,109,35000000,326588371,7,549461,3,NULL
tt0416213,Longing,2006,86,1000000,NULL,6.6,745,NULL,NULL
tt0347048,Head-On,2004,121,NULL,11030861,7.8,60893,3,0
